app_name,category,duration,price,notes
Netflix Premium,SHARING 1P1U,3 Hari,11K,
Netflix Premium,SHARING 1P1U,5 Hari,14K,
Netflix Premium,SHARING 1P1U,7 Hari,17K,
Netflix Premium,SHARING 1P1U,14 Hari,28K,
Netflix Premium,SHARING 1P1U,1 Bulan,45K,
Netflix Premium,SHARING 1P2U,1 Bulan,35K,
Netflix Premium,SEMI PRIVATE,1 Bulan,55K,
Amazon,SHARING,1 Bulan,15K,
Amazon,PRIVATE,1 Bulan,35K,
Vidio,PRIVATE,1 Bulan,45K,All Device
Wattpad,SHARING,1 Bulan,15K,
VIU,PREMIUM,1 Bulan,10K,
VIU,PREMIUM,2 Bulan,14K,
VIU,PREMIUM,3 Bulan,18K,
VIU,PRIVATE,1 Bulan,15K,
VIU,PRIVATE,2 Bulan,20K,
VIU,PRIVATE,3 Bulan,25K,
VIU,PRIVATE,6 Bulan,38K,
Disney+,SHARING,7 Hari,17K,
Disney+,SHARING,14 Hari,23K,
Disney+,SHARING,1 Bulan,35K,
Disney+,ANTI LIMIT,7 Hari,23K,
Disney+,ANTI LIMIT,14 Hari,35K,
Disney+,ANTI LIMIT,1 Bulan,55K,
HBO Max,SHARING,1 Bulan,25K,
HBO Max,PRIVATE,1 Bulan,125K,
We TV,SHARING,1 Bulan,15K,
We TV,ANTI LIMIT,1 Bulan,25K,
We TV,PRIVATE,1 Bulan,40K,
Bstation,SHARING,1 Bulan,15K,
Bstation,SHARING,1 Tahun,35K,
Bstation,PRIVATE,1 Bulan,45K,
Vision+,SHARING,1 Bulan,25K,
Vision+,PRIVATE,1 Bulan,40K,
MovieBox,Android,1 Bulan,15K,
MovieBox,Android,3 Bulan,25K,
MovieBox,Android,1 Tahun,35K,
IQIYI,SHARING,1 Bulan,15K,
IQIYI,ANTI LIMIT,1 Bulan,25K,
IQIYI,PRIVATE,1 Bulan,40K,
Crunchyroll,SHARING,1 Bulan,15K,
Crunchyroll,SHARING,1 Tahun,35K,
ChatGPT+,SHARING,1 Bulan,40K,
ChatGPT+,PRIVATE,1 Bulan,240K,
YouTube,Individual Plan,1 Bulan,15K,
YouTube,Family Plan,1 Bulan,10K,
YouTube,Family Plan,2 Bulan,15K,
Loklok,SHARING,1 Bulan,30K,
Loklok,SHARING,1 Bulan,30K,
VIKI Plus,SHARING,1 Bulan,20K,
VIKI Plus,PRIVATE,1 Bulan,40K,
Drakor.id,SHARING,6 Bulan,20K,
CatchPlay,SHARING,1 Bulan,15K,
Youku,SHARING,1 Bulan,15K,
Youku,SHARING,1 Tahun,35K,
Youku,PRIVATE,1 Bulan,45K,
Get Contact,PRIVATE,1 Bulan,18K,
Gagaoolala,SHARING,1 Bulan,15K,
Dramabox,SHARING,1 Bulan,22K,
CapCut,SHARING,7 Hari,15K,
CapCut,SHARING,1 Bulan,28K,
CapCut,PRIVATE,1 Bulan,50K,
Canva,MEMBER,1 Hari,2K,
Canva,MEMBER,3 Hari,4K,
Canva,MEMBER,7 Hari,6K,
Canva,MEMBER,1 Bulan,10K,
Canva,MEMBER,2 Bulan,15K,
Canva,MEMBER,3 Bulan,20K,
Canva,MEMBER,4 Bulan,25K,
Canva,MEMBER,5 Bulan,30K,
Canva,MEMBER,6 Bulan,40K,
Canva,DESIGNER +2K,,,
Canva,EDUCATION,1 Tahun,55K,
Dazzcam,IOS,Lifetime,25K,
SCRIBD,SHARING,1 Bulan,10K,
SCRIBD,SHARING,2 Bulan,15K,
SCRIBD,PRIVATE,1 Bulan,25K,
SCRIBD,PRIVATE,3 Bulan,35K,
Picsart,SHARING,1 Bulan,10K,
Picsart,SHARING,2 Bulan,15K,
Picsart,SHARING,3 Bulan,20K,
Picsart,PRIVATE,1 Bulan,25K,
Picsart,PRIVATE,3 Bulan,40K,
VSCO PRO,IOS / Android,1 Tahun,35K,
Spotify,INDIVIDUAL NON GARANSI,1 Bulan,20K,
Deepl Advanced,SHARING,1 Bulan,15K,
Deepl Advanced,PRIVATE,1 Bulan,35K,
,,,,
Gemini AI,PRIVATE,3 Bulan,35K,
